pl_name,hostname,pl_orbper,pl_rade,pl_bmasse,st_teff
"Kepler-560 b","Kepler-560",18.47764449000,1.72000000,,3556.00
"KMT-2023-BLG-1866L b","KMT-2023-BLG-1866L",,,2.63000000,
"HD 74156 c","HD 74156",2448.48726000000,,2753.98314665,
"GJ 273 c","GJ 273",4.72340000000,,1.18000000,3382.00
"Kepler-1921 c","Kepler-1921",3.15722086000,1.41000000,,6120.00
"Kepler-725 b","Kepler-725",39.64372000000,10.80000000,,5395.00
"Kepler-725 c","Kepler-725",207.54100000000,,9.70000000,5395.00
"KOI-134 b","KOI-134",67.12770000000,12.03844527,346.43296363,6160.00
"KOI-134 c","KOI-134",33.95000000000,,69.92224954,6160.00
"TOI-5292 A b","TOI-5292 A",2.02191000000,12.64373023,412.85910069,3919.00
"TOI-1883 b","TOI-1883",4.50800000000,5.65000000,13.70000000,3554.00
"HD 125136 b","HD 125136",849.77000000000,,718.29219982,4959.00
"HD 127195 b","HD 127195",534.50000000000,,212.94503269,4981.00
"HD 127195 c","HD 127195",836.99000000000,,206.58846455,4981.00
"eps Ind A b","eps Ind A",25450.00000000000,,2065.88464550,4700.00
"TOI-1272 b","TOI-1272",3.31597650000,4.26000000,24.10000000,4985.00
"TOI-1694 b","TOI-1694",3.77013890000,5.27000000,28.24000000,5005.00
"TOI-1694 c","TOI-1694",386.25000000000,,316.55709337,5005.00
"Gaia23braL b","Gaia23braL",,,518.06030341,
"TOI-5628 A b","TOI-5628 A",4.34166120000,8.29464572,28.60455663,3310.00
"Kepler-247 d","Kepler-247",20.47370000000,4.50000000,50.00000000,5094.00
"HD 114082 b","HD 114082",225.55040000000,11.72459381,508.52545120,6610.00
"DMPP-7 b","DMPP-7",4.92666000000,,68.95800000,6096.00
"KMT-2025-BLG-0975L b","KMT-2025-BLG-0975L",,,29.80000000,
"KMT-2025-BLG-1160L b","KMT-2025-BLG-1160L",,,25.36000000,
"TOI-4409 b","TOI-4409",92.49178900000,7.44000000,14.93793513,4928.00
"K2-99 c","K2-99",522.20000000000,,2669.75861880,6069.00
"TOI-1064 b","TOI-1064",6.44386800000,2.58700000,13.50000000,4734.00
"Kepler-841 b","Kepler-841",124.41983980000,5.23000000,,5324.00
"TOI-5605 b","TOI-5605",5.91340454843,2.52611303,,4583.79
"HD 27894 d","HD 27894",5019.54244000000,,2063.65984665,
"Kepler-186 e","Kepler-186",22.40770400000,1.27000000,,3788.00
"Kepler-1987 d","Kepler-1987",5.64491415400,2.66000000,,4769.00
"Kepler-1233 b","Kepler-1233",45.12630420000,2.60000000,,6198.00
"HD 29021 b","HD 29021",1365.00000000000,,1420.69297929,
"Kepler-205 b","Kepler-205",2.75564000000,1.51000000,,4321.00
"Kepler-549 c","Kepler-549",117.04049800000,2.93000000,,5360.00
"Kepler-1221 b","Kepler-1221",12.00096042000,1.88000000,,5194.00
"Kepler-1836 b","Kepler-1836",5.25416994100,2.55303229,,6123.00
"Kepler-257 b","Kepler-257",2.38266700000,2.61000000,,5180.00
